Item Name,Price,URL
L.O.L. Surprise: Folding Kick Scooter- Stripes,$44.95,https://www.amazon.ca/L-L-Surprise-Folding-Scooter/dp/B07PNRH9QS/ref=sr_1_42?dchild=1&keywords=scooter&qid=1614308858&sr=8-42
"Huffy Kids Preschool Scooter for Boys Disney Pixar Cars & Toy Story, Star Wars, Marvel Spider-Man, 3 Wheel Toy",$49.98,https://www.amazon.ca/Huffy-Disney-Toddler-Preschool-Scooter/dp/B07NJP1N2N/ref=sr_1_46?dchild=1&keywords=scooter&qid=1614308858&sr=8-46
"Zicosy Kick Scooter 3 Wheel Scooter, Adjustable Height Kids Scooter, Lean to Steer with Extra-Wide PU LED Light Up Wheels,Foldable and easy to carry easy to learn, Suitable for boys and girls aged 3 to 12",$49.99,https://www.amazon.ca/Zicosy-Adjustable-Extra-Wide-Foldable-Suitable/dp/B08GPNKHHD/ref=sr_1_39?dchild=1&keywords=scooter&qid=1614308858&sr=8-39
"RideVOLO K01 Kick Scooter Suitable for 3-8 Years Old, PU Flashing Wheels, 3 Adjustable Heights, ABEC-7 Wheel Bearings, 5.1inch Extra-Wide Deck, Easy to Assemble and Max Load 110lbs",$50.99,https://www.amazon.ca/RideVOLO-Kick-Scooter-Great-Years/dp/B08FR9V228/ref=sr_1_5?dchild=1&keywords=scooter&qid=1614308858&sr=8-5
Fawn Toys 3-Wheel Junior Kick Scooter Flashing Wheels/Lean to Turn/Indoor/Outdoor 2-6 Yrs,$54.99,https://www.amazon.ca/Fawn-Toys-3-Wheel-Flashing-Adjustable/dp/B08BXJRZHJ/ref=sr_1_10?dchild=1&keywords=scooter&qid=1614308858&sr=8-10
"BELEEV Scooter for Kids 3 Wheel Kick Scooter, Perfect for Toddler Girls Boys Age 3~12, Scooter with 4 Adjustable Height, LED Light Up Wheels for Children",$55.99,https://www.amazon.ca/BELEEV-Scooter-Perfect-Adjustable-Children/dp/B088D656LB/ref=sr_1_26?dchild=1&keywords=scooter&qid=1614308858&sr=8-26
Scooters for Kids Kick Scooter with Removable Seat 3-in-1 Adjustable Height Kids Scooter with Light Wheels Toddler Scooters for Boys and Girls,$55.99,https://www.amazon.ca/Scooters-Scooter-Removable-Adjustable-Toddler/dp/B0872XN47R/ref=sr_1_44?dchild=1&keywords=scooter&qid=1614308858&sr=8-44
Razor A Kick Scooter,$59.99,https://www.amazon.ca/Razor-Kick-Scooter-Clear-Black/dp/B00008BFYG/ref=sr_1_6?dchild=1&keywords=scooter&qid=1614308858&sr=8-6
"BELEEV Scooters for Kids 2 Wheel Folding Kick Scooter for Girls & Boys, 3 Adjustable Height, PU LED Light Up Wheels for Children",$59.99,https://www.amazon.ca/BELEEV-Scooters-Folding-Adjustable-Children/dp/B088H18R1S/ref=sr_1_9?dchild=1&keywords=scooter&qid=1614308858&sr=8-9
"HISHINE 3 Wheels Kids Scooter，Kick Scooter for Boys and Girls，Adjustable Height Toddlers Scooter，with Led Pu Wheels,w/Extra-Wide Deck,Lean-to-Steer System,Age 2-5",$59.99,https://www.amazon.ca/HISHINE-Scooter%EF%BC%8CKick-Girls%EF%BC%8CAdjustable-Toddlers-Extra-Wide/dp/B08DM1149L/ref=sr_1_35?dchild=1&keywords=scooter&qid=1614308858&sr=8-35
"BELEEV Scooters for Kids 3 Wheel Kick Scooter for Toddlers Girls & Boys,  Scooter with 3 Adjustable Height, LED Light Up Wheels for Children from 3 to 12 Years Old",$62.99,https://www.amazon.ca/BELEEV-Scooters-Toddlers-Scooter-Adjustable/dp/B088D3PMVJ/ref=sr_1_14?dchild=1&keywords=scooter&qid=1614308858&sr=8-14
"Razor AW Kick Scooter for Kids - Wheelie Bar, Lightweight, Foldable, Aluminum Frame, and Adjustable Handlebars",$64.45,https://www.amazon.ca/Razor-AW-Kick-Scooter-Pink/dp/B07QFJ4SZK/ref=sr_1_17?dchild=1&keywords=scooter&qid=1614308858&sr=8-17
"Razor A2 Kick Scooter, Clear",$68.74,https://www.amazon.ca/Razor-A2-Kick-Scooter-Clear/dp/B073XQ5CJG/ref=sr_1_53?dchild=1&keywords=scooter&qid=1614308858&sr=8-53
"GOTRAX KX5 Kick Scooter, 3 Adjustable Heights and 5"" PU Flashing Wheels Kids Scooter, Lightweight (Only 5.15lb) Aluminum Alloy Scooter for Age of 4-9",$69.99,https://www.amazon.ca/GOTRAX-KX5-Kick-Scooter-Green/dp/B08BXFLBK8/ref=sr_1_8?dchild=1&keywords=scooter&qid=1614308858&sr=8-8
RideVOLO K02 2-in-1 Kick Scooter with Removable Seat Great for 2-6 Years Old – 4 Adjustable Height Extra-Wide Deck PU Flashing Wheels,$69.99,https://www.amazon.ca/RideVOLO-Scooter-Removable-Great-Years/dp/B087PD8FB2/ref=sr_1_15?dchild=1&keywords=scooter&qid=1614308858&sr=8-15
"VTANMS Scooter for Kids, Kick Scooter for Girls & Boys, 3 Adjustable Height, Rear Fender Break, 5lb Lightweight Folding Kids Scooter, 120lb Weight Capacity (3-12 Years Old)",$69.99,https://www.amazon.ca/VTANMS-Scooter-Adjustable-Lightweight-Capacity/dp/B08L7YPW87/ref=sr_1_49?dchild=1&keywords=scooter&qid=1614308858&sr=8-49
"BELEEV 2 in 1 Scooter for Kids 3 Wheel Kick Scooter with Foldable Seat, Scooter Perfect for Toddler Girls & Boys Age 3+, Adjustable Height, LED Light Up Wheels for Children",$69.99,https://www.amazon.ca/BELEEV-Scooter-Foldable-Adjustable-Children/dp/B088R7R1RN/ref=sr_1_52?dchild=1&keywords=scooter&qid=1614308858&sr=8-52
VIRO Rides VR 130 Fastbreak Folding Kick Scooter,$71.08,https://www.amazon.ca/VIRO-Rides-Fastbreak-Folding-Scooter/dp/B07PZFB96F/ref=sr_1_56?dchild=1&keywords=scooter&qid=1614308858&sr=8-56
Hurtle 3 Wheeled Scooter for Kids - 2-in-1 Sit/Stand Child Toddlers Toy Kick Scooters W/Flip-Out Seat,$74.99,https://www.amazon.ca/Wheeled-Scooter-Kids-2-Adjustable/dp/B07VY9Q95Q/ref=sr_1_19?dchild=1&keywords=scooter&qid=1614308858&sr=8-19
Radio Flyer Lean 'N Glide Scooter with Light Up Wheels Vehicle,$77.99,https://www.amazon.ca/Radio-Flyer-Scooter-wheels-Vehicle/dp/B06XSTWYV9/ref=sr_1_33?dchild=1&keywords=scooter&qid=1614308858&sr=8-33
"Razor A3 Kick Scooter, Red",$79.99,https://www.amazon.ca/Razor-A3-Kick-Scooter-Red/dp/B01EN6LY3I/ref=sr_1_53?dchild=1&keywords=scooter&qid=1614308858&sr=8-53
Razor A3 Kick Scooter,$79.99,https://www.amazon.ca/Razor-A3-Kick-Scooter-Green/dp/B01EN6LXAW/ref=sr_1_54?dchild=1&keywords=scooter&qid=1614308858&sr=8-54
"Razor A2 Kick Scooter, Purple, One Size",$80.62,https://www.amazon.ca/Razor-A2-Kick-Scooter-Purple/dp/B073XQBR1H/ref=sr_1_40?dchild=1&keywords=scooter&qid=1614308858&sr=8-40
"Vokul Trii S2 Entry Freestyle Pro Stunt Scooter for Age 8+; Decent Entry Level Pro Scooter - 19.5"" W*23.8"" H Handlebar - 6061 Aluminum 20"" L*3.9"" W Deck; Stable Performance (Gold)",$89.90,https://www.amazon.ca/Vokul-Entry-Freestyle-Scooter-Decent/dp/B088FQDLJT/ref=sr_1_58?dchild=1&keywords=scooter&qid=1614308858&sr=8-58
DILALIE Sport pro Scooter Stunt Scooter for Kids,$89.99,https://www.amazon.ca/DILALIE-Pro-Scooters-Stunt-Scooter/dp/B085ZSLRC5/ref=sr_1_16?dchild=1&keywords=scooter&qid=1614308858&sr=8-16
"Vokul TRII S2 Entry Freestyle Pro Stunt Scooter for Age 8+; Decent Entry Level Pro Scooter - 19.5"" W*23.8"" H Handlebar - 6061 Aluminum 20"" L*3.9"" W Deck; Stable Performance",$92.90,https://www.amazon.ca/Vokul-Entry-Freestyle-Scooter-Decent/dp/B073Y7WT4J/ref=sr_1_29?dchild=1&keywords=scooter&qid=1614308858&sr=8-29
"Beleev V5 Scooters for Kids 8 Years and up, Foldable Kick Scooter 2 Wheel, Quick-Release Folding System, Shock Absorption Mechanism, Large 200mm Wheels Scooters with Carry Strap for Adults and Teens",$95.95,https://www.amazon.ca/BELEEV-Scooters-Quick-Release-Absorption-Mechanism/dp/B083M3C2XS/ref=sr_1_18?dchild=1&keywords=scooter&qid=1614308858&sr=8-18
Geelife Scooters for Kids 2 Wheel Folding Kick Scooter for Adults Teens Youths Boys Girls,$97.95,https://www.amazon.ca/Geelife-Scooters-Folding-Scooter-Adults/dp/B08GK4XQM8/ref=sr_1_41?dchild=1&keywords=scooter&qid=1614308858&sr=8-41
"V2 Pro Scooter - Stunt Scooters - Kids and Youth Freestyle Kick Scooter | Beginner BMX Tricks Scooters for Kids Boys Girls - 100mm Scooter Wheels,Colord Grips,Durable, Smooth",$99.90,https://www.amazon.ca/V2-Pro-Scooter-Scooters-Freestyle/dp/B08JHS6VVB/ref=sr_1_31?dchild=1&keywords=scooter&qid=1614308858&sr=8-31
VIRO Rides VR 230 Attitude Stunt Scooter,$100.60,https://www.amazon.ca/VIRO-Rides-Attitude-Stunt-Scooter/dp/B07Q2N5V6T/ref=sr_1_43?dchild=1&keywords=scooter&qid=1614308858&sr=8-43
Soozier Adjustable Pro Kick Scooter Foldable Ride On Bike 3 Level Height with Brakes Large Solid PU Tires for 14+ Teens Adult,$102.99,https://www.amazon.ca/Soozier-Scooter-Foldable-Height-Adjustable/dp/B083DS11MG/ref=sr_1_55?dchild=1&keywords=scooter&qid=1614308858&sr=8-55
"Vokul Trii S1 Pro Scooter Complete Stunt Scooter - Beginner and Amateur Tricks Scooters for Kids 7 Years and Up, Quality Kick Scooter for Boys and Girls",$103.39,https://www.amazon.ca/Vokul-Freestyle-Tricks-Stunt-Scooter/dp/B073QNSVBC/ref=sr_1_56?dchild=1&keywords=scooter&qid=1614308858&sr=8-56
BELEEV Scooters for Kids 8 Years and up - Quick-Release Folding System - Front Suspension System + 200mm Big Wheels Foldable 2 Wheel Kick Scooter for Adults and Teens with Carry Strap,$105.95,https://www.amazon.ca/BELEEV-Scooters-Kids-Years-Quick-Release/dp/B088D7366J/ref=sr_1_7?dchild=1&keywords=scooter&qid=1614308858&sr=8-7
"Mongoose Rise Youth and Adult Freestyle Kick Scooter, High Impact 110mm Wheels, Bike-Style Grips, Lightweight Alloy Deck, Multiple Colors",$108.15,https://www.amazon.ca/Mongoose-Rise-Freestyle-Scooter-White/dp/B07NC5NPHH/ref=sr_1_20?dchild=1&keywords=scooter&qid=1614308858&sr=8-20
"Vokul Foldable Kick Scooters for Kids 8 Years and up, Quick-Release Folding Mechanism+Adjustable Handlebar+Shock Absorption System + 205mm Big Wheels, Smooth Glide Commuter Scooter with 220lbs Capacity",$109.90,https://www.amazon.ca/Quick-Release-Mechanism-Adjustable-Handlebar-Absorption/dp/B08HCHWJM4/ref=sr_1_37?dchild=1&keywords=scooter&qid=1614308858&sr=8-37
"RideVOLO K08 Kick Scooter for 8+ Years Old with 8inch Wheels and 3 Adjustable Height, Folding System and Suspension System",$114.99,https://www.amazon.ca/RideVOLO-Scooter-Adjustable-Folding-Suspension/dp/B089YSSG6J/ref=sr_1_11?dchild=1&keywords=scooter&qid=1614308858&sr=8-11
"RideVOLO T01 Pro Stunt Scooter, Best Entry Level Trick Scooter with 100mm Aluminum Alloy PU Wheels and ABEC-9 Bearing,Lightweight Freestyle Scooter for Beginners 8 Years and Up,Adult",$119.99,https://www.amazon.ca/RideVOLO-Aluminum-Lightweight-Freestyle-Beginners/dp/B089GQ8H8L/ref=sr_1_30?dchild=1&keywords=scooter&qid=1614308858&sr=8-30
"Razor A5 Lux Light-Up Kick Scooter - Lighted Large Wheels, Folding Scooter for Riders Up to 220 lbs",$136.43,https://www.amazon.ca/Razor-A5-Lighted-Lux-Scooter/dp/B088LPLNPK/ref=sr_1_47?dchild=1&keywords=scooter&qid=1614308858&sr=8-47
"Vokul Bzit K1 Pro Scooter Complete Stunt Scooter - Beginner to Intermediate Tricks Scooters for Kids 8 Years and Up, Teens/Adults–Durable, Freestyle Scooter for Boys and Girls",$139.90,https://www.amazon.ca/Vokul-Freestyle-Tricks-Scooter-Adults/dp/B074RFZNCY/ref=sr_1_28?dchild=1&keywords=scooter&qid=1614308858&sr=8-28
VOKUL Complete Pro Scooter for Kids Boys Girls Teens Adults Up 7 Years - Freestyle Tricks Pro Stunt Scooter with 110mm Metal Wheels - High Performance Gift for Skatepark Street Tricks,$139.90,https://www.amazon.ca/VOKUL-Skatepark-Scooter-Girls-Adults/dp/B07HF12KQR/ref=sr_1_57?dchild=1&keywords=scooter&qid=1614308858&sr=8-57
Razor A5 Lux Scooter,$139.99,https://www.amazon.ca/Razor-Lux-Kick-Scooter-Pink/dp/B01EM42AVQ/ref=sr_1_25?dchild=1&keywords=scooter&qid=1614308858&sr=8-25
"Vokul Bzit K1 Pro Scooter Complete Stunt Scooter - Beginner to Intermediate Tricks Scooters for Kids 8 Years and Up, Teens/Adults–Durable, Freestyle Scooter for Boys and Girls",$142.90,https://www.amazon.ca/Vokul-BZIT-Freestyle-Scooter-Green/dp/B07F817VLT/ref=sr_1_38?dchild=1&keywords=scooter&qid=1614308858&sr=8-38
"Hudora 205 Adult Folding Kick Scooter- 2 Big PU Wheels 205 mm, Adjustable Bar,Reinforced Deck",$145.99,https://www.amazon.ca/Hudora-14724-Adult-Scooter-Wheels/dp/B01N563SG0/ref=sr_1_55?dchild=1&keywords=scooter&qid=1614308858&sr=8-55
"Vokul Bzit K1 Pro Scooter Complete Stunt Scooter - Beginner to Intermediate Tricks Scooters for Kids 8 Years and Up, Teens/Adults–Durable, Freestyle Scooter for Boys and Girls",$149.90,https://www.amazon.ca/Vokul-Bzit-Scooter-Complete-Stunt/dp/B07Y52BHNT/ref=sr_1_12?dchild=1&keywords=scooter&qid=1614308858&sr=8-12
"V4 Pro Scooter - Stunt Scooters - Kids Youth Adults Freestyle Scooters | Inter BMX Tricks Scooters for Kids Boys Girls - 110mm Alloy Scooter Wheels,Colord Grips,Durable, Smooth",$149.90,https://www.amazon.ca/V4-Pro-Scooter-Scooters-Freestyle/dp/B08JLD3ZXH/ref=sr_1_51?dchild=1&keywords=scooter&qid=1614308858&sr=8-51
"RideVOLO T02/T03 Pro Stunt Scooter, Intermediate Trick Scooter with 110mm Aluminum Core Wheel, Rainbow Chrome Clamp, HIC Compression System,5.5/6.7inch Wide Aluminum Deck for 8 Years and Up, and Adult",$179.99,https://www.amazon.ca/RideVOLO-Scooter-Advanced-Aluminum-Compression/dp/B089GZ2L58/ref=sr_1_13?dchild=1&keywords=scooter&qid=1614308858&sr=8-13
Fuzion X-3 Pro Scooter,$180.03,https://www.amazon.ca/Fuzion-X-3-Scooter-2018-Gold/dp/B073ZMWZBQ/ref=sr_1_27?dchild=1&keywords=scooter&qid=1614308858&sr=8-27
Razor A6 Kick Scooter,$201.68,https://www.amazon.ca/Razor-A6-Kick-Scooter-Silver/dp/B07QBDR4B6/ref=sr_1_50?dchild=1&keywords=scooter&qid=1614308858&sr=8-50
"Razor Power Core E90 Electric Scooter Toy, Green",$217.09,https://www.amazon.ca/Razor-Power-Electric-Scooter-Green/dp/B01A0EMX6O/ref=sr_1_54?dchild=1&keywords=scooter&qid=1614308858&sr=8-54
"GOTRAX GXL V2 Folding Electric Scooter with 1 Gear (0-15.5mph), 8.5inch Wheels, 36V 5.2Ah Lithium Battery Up to 12miles per Charge, 250W Motor up to 15.5mph for Adult 2020 New Upgrade (Black)",$429.99,https://www.amazon.ca/Folding-Electric-Scooter-0-15-5mph-8-5inch/dp/B08D9MS2BQ/ref=sr_1_45?dchild=1&keywords=scooter&qid=1614308858&sr=8-45
"GOTRAX XR Elite Foldable Electric Scooter, Big Battery 36V/7.8AH, Powerful 300W Motor & 15.5 MPH, 6.6"" W/28.3"" L Wide Deck and UL Certified E-Scooter for Commuter (Black)",$599.99,https://www.amazon.ca/Foldable-Electric-Powerful-Certified-Scooter/dp/B08D9P13B3/ref=sr_1_36?dchild=1&keywords=scooter&qid=1614308858&sr=8-36
"Xiaomi Mi Electric Scooter, 18.6 Miles Long-Range Battery, Up to 15.5 MPH, Easy Fold-n-Carry Design, Ultra-Lightweight Adult Electric Scooter (US Version with Warranty)",$600.00,https://www.amazon.ca/Xiaomi-Electric-Long-Range-Fold-n-Carry-Ultra-Lightweight/dp/B076KKX4BC/ref=sr_1_34?dchild=1&keywords=scooter&qid=1614308858&sr=8-34
"Segway Ninebot MAX Electric Kick Scooter, Max Speed 18.6 MPH, Long-Range Battery, Foldable and Portable","$1,052.26",https://www.amazon.ca/Segway-G30P-Ninebot-MAX/dp/B07WYXXL4V/ref=sr_1_32?dchild=1&keywords=scooter&qid=1614308858&sr=8-32
